budget,genres,movie_id,original_language,popularity,production_companies,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
6000000,"Comedy, Drama, Romance",15256,en,3.56,Paramount Pictures,1999-02-26,6852450,101,Released,It's 11:59 on New Years Eve... do you know where your date is?,200 Cigarettes,6.1,44
10500000,"Adventure, Mystery, Science Fiction",62,en,86.2,"Metro-Goldwyn-Mayer (MGM), Stanley Kubrick Productions",1968-04-10,68700000,149,Released,An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,2998
200000000,"Action, Adventure, Science Fiction",14161,en,45.27,"Centropolis Entertainment, Columbia Pictures, Farewell Productions, The Mark Gordon Company",2009-10-10,769653595,158,Released,We Were Warned.,2012,5.6,4903
2500000,Documentary,126509,en,0.97,Unknown,2012-07-13,33400000,87,Released,"Love Him, Hate Him, You Don't Know Him",2016: Obama's America,4.6,19
12000000,"Drama, Fantasy, Romance, Science Fiction",844,zh,12.66,"Jet Tone Films, Orly Films, Paradis Films, Shanghai Film Group Corporation",2004-05-20,19271312,129,Released,Are you still in the mood for love?,2046,6.9,206
35000000,"Crime, Drama",8065,en,45.15,"Columbia Pictures, Relativity Media",2008-03-27,69823199,123,Released,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,21,6.5,1375
13000000,Comedy,107811,en,35.52,"Mandeville Films, Relativity Media, SkyLand Entertainment, Virgin Produced",2013-03-01,48065672,93,Released,Finally.,21 & Over,5.7,737
20000000,"Crime, Drama, Thriller",470,en,32.24,"Mediana Productions Filmgesellschaft, This Is That Productions, Y Productions",2003-09-06,60427839,124,Released,How much does life weigh?,21 Grams,7.2,918
42000000,"Action, Comedy, Crime",64688,en,62.71,"Columbia Pictures, Metro-Goldwyn-Mayer (MGM), Original Film, Relativity Media, Stephen J. Cannell Productions",2012-03-12,201585328,109,Released,They thought the streets were mean. Then they went back to high school.,21 Jump Street,6.7,4074
50000000,"Action, Comedy, Crime",187017,en,52.38,"33andOut Productions, Cannell Studios, Columbia Pictures, JHF Productions, LStar Capital, Media Rights Capital, Metro-Goldwyn-Mayer (MGM), Original Film",2014-06-05,188441614,112,Released,They're not 21 anymore,22 Jump Street,7.0,3319
0,"Comedy, Drama, Romance",22913,en,0.74,Scala Films,1997-08-31,0,96,Released,,24 7: Twenty Four Seven,6.3,10
15000000,"Crime, Drama",1429,en,30.2,"40 Acres & A Mule Filmworks, Touchstone Pictures",2002-12-16,13060843,135,Released,This life was so close to never happening.,25th Hour,7.2,629
30000000,"Comedy, Romance",6557,en,30.7,"Dune Entertainment III, Fox 2000 Pictures, Spyglass Entertainment",2008-01-10,160259319,111,Released,She's about to find the perfect fit.,27 Dresses,6.1,978
43000000,"Comedy, Drama",10468,en,5.42,Columbia Pictures,2000-04-06,0,103,Released,The Life of the Party... before she got a life.,28 Days,6.0,208
5000000,"Horror, Science Fiction, Thriller",170,en,45.49,"British Film Council, DNA Films",2002-10-31,82719885,113,Released,His fear began when he woke up alone. His terror began when he realised he wasn't.,28 Days Later,7.1,1777
15000000,"Horror, Science Fiction, Thriller",1562,en,34.76,"DNA Films, Figment Films, Fox Atomic, Koan Films, Sociedad General de Cine S.A., UK Film Council",2007-04-26,64238440,100,Released,When days turn to weeks... the horror returns.,28 Weeks Later,6.5,1197
3500000,"Horror, Mystery, Thriller",39303,en,1.27,"Anthem Pictures, It's An Us Thing Productions Inc.",2009-04-25,0,96,Released,Killers Are Not Born ... They Are Made,2:13,4.6,10
0,Drama,68412,en,0.18,Caruso / Mendelsohn Productions,2010-01-01,0,88,Released,,3 Backyards,4.8,4
28000000,"Action, Crime, Drama, Thriller",192102,en,41.64,"3DTK, EuropaCorp, Feelgood Entertainment, Paradise/MGN, Relativity Media, Wonderland Sound and Vision",2014-02-14,52597999,113,Released,,3 Days to Kill,6.0,883
0,"Action, Adventure, Comedy, Family",18885,en,2.65,"Ben-Ami/Leeds Productions, Sheen Productions, TriStar Pictures",1994-05-06,0,93,Released,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure",3 Ninjas Kick Back,4.5,48
6000000,"Action, Comedy, Romance",47816,en,1.43,Unknown,2000-03-01,9000000,82,Released,"the few, the proud, the paroled.",3 Strikes,5.9,15
30000000,"Horror, Thriller",4513,en,33.39,"Columbia Pictures, Dark Horse Entertainment, Ghost House Pictures, HorrorFlix",2007-10-17,75505973,113,Released,They're Coming!,30 Days of Night,6.2,767
28000000,"Action, Adventure, Comedy",62206,en,25.04,Columbia Pictures,2011-08-11,40547440,83,Released,A lot can happen in 30 minutes.,30 Minutes or Less,5.6,531
0,Comedy,157058,en,1.74,"Silver Nitrate Films, Silver Nitrate Pictures",2013-01-14,0,80,Released,Based on true events... that may not have happened,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2.9,28
65000000,"Action, Adventure, War",1271,en,65.2,"Atmosphere Entertainment MM, Cruel and Unusual Films, Hollywood Gang Productions, Legendary Pictures, Nimar Studios, Virtual Studios, Warner Bros.",2006-12-09,422610419,117,Released,"Spartans, prepare for glory!",300,7.0,4997
62000000,"Action, Adventure, Comedy, Crime, Thriller",12138,en,11.26,"Franchise Pictures, Morgan Creek Productions, Warner Bros.",2001-02-23,18720175,125,Released,Crime Is King.,3000 Miles to Graceland,5.8,178
110000000,"Action, War",53182,en,71.51,"Atmosphere Entertainment MM, Cruel and Unusual Films, Hollywood Gang Productions, Legendary Pictures, Nimar Studios, Warner Bros.",2014-03-05,337580051,102,Released,Seize your glory!,300: Rise of an Empire,6.1,2397
55000000,Western,5176,en,48.8,"Lionsgate, Relativity Media, Tree Line Films, Yuma",2007-09-06,70016220,122,Released,Time waits for one man.,3:10 to Yuma,6.9,1188
852510,Drama,2009,ro,9.27,"Centrul National al Cinematografiei (CNC), Hubert Bals Fund of the Rotterdam Festival, The, McCann-Erickson, Mindshare Media, Mobra Films, Saga Film, Televiziunea Romana (TVR1)",2007-08-24,1185783,113,Released,At what moment do we begin to live?,"4 Months, 3 Weeks and 2 Days",7.3,156
17000000,"Comedy, Romance",2752,en,14.18,"Miramax Films, Universal Pictures, Working Title Films",2002-03-01,0,94,Released,Easier said than done.,40 Days and 40 Nights,5.2,297
40000000,Drama,109410,en,31.88,Warner Bros.,2013-04-12,95020213,128,Released,The True Story Of An American Legend,42,6.8,787
439000,"Comedy, Music, Romance",3062,en,1.93,Warner Bros.,1933-02-02,2281000,89,Released,,42nd Street,6.1,37
175000000,"Action, Adventure, Drama, Fantasy",64686,en,41.8,"H2F Entertainment, Mid Atlantic Films, Moving Picture Company (MPC), Stuber Productions, Universal",2013-12-06,150962475,119,Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
20000000,"Drama, War",50601,en,5.73,"Dispictures, Georgia International Films, Midnight Sun Pictures, Rex Media",2011-04-14,17479,113,Released,Their only weapon is the truth.,5 Days of War,5.8,62
75000000,"Comedy, Romance",1824,en,61.44,"Anonymous Content, Columbia Pictures Corporation, Flower Films (II), Happy Madison Productions",2004-02-13,196482882,99,Released,Imagine having to win over the girl of your dreams... every friggin' day.,50 First Dates,6.6,2105
8000000,"Comedy, Drama",40807,en,33.37,"Mandate Pictures, Summit Entertainment",2011-09-30,39187783,100,Released,It takes a pair to beat the odds.,50/50,7.0,1261
0,Documentary,79161,en,0.05,Copacetic Pictures,2006-10-18,0,90,Released,Do you really want to know your parents?,51 Birch Street,6.8,6
13000000,"Drama, Music",3682,en,11.88,"Dollface, FilmColony, Miramax, Redeemable Features",1998-08-28,16757163,106,Released,You've never been anywhere until you've been here,54,5.5,135
17000000,"Action, Drama, History",27759,en,3.32,"Allied Artists Pictures, Samuel Bronston Productions",1963-05-06,10000000,154,Released,A handful of men and women held out against the frenzied hordes of bloodthirsty fanatics!,55 Days at Peking,6.3,36
0,"Drama, Thriller",433715,en,0.02,After Eden Pictures,2014-06-15,0,90,Released,She never knew it could happen to her...,8 Days,0.0,0
0,"Comedy, Crime",13982,en,5.02,"Brad Krevoy & Steve Stabler production, Orion Pictures",1997-04-18,0,95,Released,A mindless comedy.,8 Heads in a Duffel Bag,5.4,39
41000000,Drama,65,en,32.8,"Imagine Entertainment, Mikona Productions GmbH & Co. KG",2002-11-08,215000000,110,Released,Every moment is another chance.,8 Mile,6.8,1626
8000000,"Comedy, Crime, Music, Mystery, Thriller",1958,fr,8.2,"Centre National de la Cinématographie, Fidélité Productions, France 2 Cinéma, Gimages 5, Le Studio Canal+, Mars Films",2002-01-08,0,111,Released,Living in a house full of women can be murder.,8 Women,6.9,196
30000000,"Crime, Mystery, Thriller",3489,en,16.88,"Brightlight Pictures, Nu Image Entertainment, TriStar Pictures",2007-02-14,16930884,108,Released,He has 88 minutes to solve a murder. His own.,88 Minutes,5.7,313
0,Documentary,40428,en,0.42,Unknown,2010-01-01,0,80,Released,Equality for some.,8: The Mormon Proposition,5.5,6
40000000,"Crime, Mystery, Thriller",8224,en,25.58,"Columbia Pictures Corporation, Global Entertainment Productions GmbH & Company Medien KG, Hofflund/Polone",1999-02-26,96618699,123,Released,You can't prepare for where the truth will take you.,8MM,6.1,474
30000000,"Action, Adventure, Animation, Science Fiction, Thriller",12244,en,55.81,"Arc Productions, Focus Films, Relativity Media, Starz Animation, Tim Burton Productions",2009-08-19,48428063,79,Released,When our world ended their mission began.,9,6.6,1262
5000000,Drama,343795,en,3.94,"Emmett/Furla Films, Giving Films",2015-09-11,4842699,121,Released,Hope lives,90 Minutes in Heaven,5.4,40
60000000,"Drama, Romance",453,en,59.25,"DreamWorks SKG, Imagine Entertainment, Universal Pictures",2001-12-11,313542341,135,Released,I need to believe that something extra ordinary is possible...,A Beautiful Mind,7.7,3009
0,"Comedy, Horror, Thriller",386826,en,0.06,Unknown,2016-03-04,0,87,Released,,A Beginner's Guide to Snuff,0.0,0
10000000,Drama,55720,en,4.12,"Depth of Field, Lime Orchard Productions, McLaughlin Films, Summit Entertainment, Witt/Thomas Productions",2011-06-24,1759252,98,Released,Every father wants more for his son.,A Better Life,7.0,54
22000000,"Drama, History, War",5902,en,20.26,"Joseph E. Levine Productions, United Artists",1977-06-15,50750000,175,Released,Out of the sky comes the screen's most incredible spectacle of men and war!,A Bridge Too Far,6.9,207
120000000,"Adventure, Animation, Comedy, Family",9487,en,87.35,"Pixar Animation Studios, Walt Disney Pictures",1998-11-25,363258859,95,Released,An epic presentation of miniature proportions.,A Bug's Life,6.8,2303
0,"Animation, Comedy, Family, TV Movie",13187,en,8.7,Warner Bros. Home Video,1965-12-09,0,25,Released,"That's what Christmas is all about, Charlie Brown!",A Charlie Brown Christmas,7.5,153
200000000,"Animation, Drama",17979,en,39.74,"ImageMovers, Walt Disney",2009-11-04,325233863,96,Released,Season's Greedings,A Christmas Carol,6.6,1095
0,"Comedy, Family",850,en,15.13,"Christmas Tree Films, Metro-Goldwyn-Mayer (MGM)",1983-11-18,19294144,94,Released,"Peace, Harmony, Comfort and Joy... Maybe Next Year.",A Christmas Story,7.4,344
19000000,Comedy,11247,en,25.28,"Clifford Werber Productions, Dylan Sellers Productions, Gaylord Films, Warner Bros.",2004-07-10,70067909,95,Released,Once upon a time... can happen any time.,A Cinderella Story,6.1,713
70000000,Drama,9422,en,10.15,"Paramount Pictures, Touchstone Pictures, Wildwood Enterprises",1998-03-05,56702901,115,Released,Justice has its price.,A Civil Action,6.1,109
0,"Comedy, Drama",8435,en,3.5,"BBC Films, Baby Cow Productions, EM Media, East Midlands Media Initiative, Revolution Films, Scion Films",2005-07-17,0,94,Released,Because everyone loves an accurate period piece.,A Cock and Bull Story,6.2,43
15000000,"Drama, Thriller",48231,en,27.13,"Dangerous Method Film AG, Lago Film, Millbrook Pictures, Prospero Pictures, Recorded Pictures Company, The Movie Network",2011-09-30,27462041,99,Released,Why deny what you desire the most.,A Dangerous Method,6.2,571
0,"Drama, Family",104896,en,0.84,Unknown,1999-08-27,0,96,Released,,A Dog Of Flanders,6.4,6
120000,Comedy,18632,en,2.21,Kibble Productions,2007-03-03,0,88,Released,Man's best friend makes the worst accomplice.,A Dog's Breakfast,5.9,24
4,"Drama, Romance, War",22649,en,1.2,Paramount Pictures,1932-12-08,25,89,Released,Every woman who has loved will understand,A Farewell to Arms,6.2,28
40000000,Drama,881,en,40.38,David Brown Productions,1992-12-11,243240178,138,Released,,A Few Good Men,7.1,877
0,Drama,248402,en,0.65,Unknown,2014-04-16,0,90,Released,Together they learnt to dream again,A Fine Step,4.1,7
200000,Western,391,it,38.77,"Constantin Film Produktion, Jolly Film, Ocean Films, United Artists",1964-09-12,14500000,99,Released,"In his own way he is perhaps, the most dangerous man who ever lived!",A Fistful of Dollars,7.6,883
0,"Comedy, Music",17768,en,8.9,"Melvin Frank Production, United Artists",1966-10-16,0,99,Released,Something for Everyone!,A Funny Thing Happened on the Way to the Forum,6.1,24
92000000,"Action, Thriller",47964,en,65.4,"Big Screen Productions, Dune Entertainment, Giant Pictures, Ingenious Media, Mid Atlantic Films, Origo Film Group, TSG Entertainment, Temple Hill Entertainment, Twentieth Century Fox Film Corporation",2013-02-06,304654182,98,Released,Yippee Ki-Yay Mother Russia,A Good Day to Die Hard,5.2,3493
35000000,"Comedy, Drama, Romance",9726,en,16.78,"Fox 2000 Pictures, Scott Free Productions",2006-09-09,42064105,118,Released,Everything matures... eventually.,A Good Year,6.5,357
2627000,"Drama, Romance, War",43306,en,0.53,Metro-Goldwyn-Mayer (MGM),1944-03-01,5363000,120,Released,A GUY - A GAL - A PAL - It's Swell!,A Guy Named Joe,6.0,8
20000000,"Comedy, Romance",9582,en,5.6,"David Ladd Films, Metro-Goldwyn-Mayer (MGM)",2003-01-17,17432163,101,Released,Boy meets girl. Boy meets girl's cousin.,A Guy Thing,5.3,83
560000,"Comedy, Music",704,en,10.73,"Maljack Productions, Proscenium Films, Walter Shenson Films",1964-07-06,12299668,88,Released,"The Beatles, starring in their first full-length, hilarious, action-packed film!",A Hard Day's Night,7.3,168
2500000,"Comedy, Horror",139038,en,18.66,"Endgame Entertainment, IM Global, Open Road Films, Wayans Bros. Entertainment",2013-01-11,60141683,86,Released,This $*%! ain't paranormal.,A Haunted House,5.4,516
0,"Comedy, Horror",184345,en,18.43,"Automatik Entertainment, Open Road Films",2014-04-17,0,87,Released,It'll scare the #2 out of you.,A Haunted House 2,5.4,346
32000000,"Crime, Drama, Thriller",59,en,34.63,"BenderSpink, DC Comics, New Line Cinema",2005-09-23,60740827,96,Released,Tom Stall had the perfect life... until he became a hero.,A History of Violence,6.9,832
6500000,"Drama, Romance",18923,en,5.48,"Hart-Sharp Entertainment, Killer Films",2004-07-23,1548955,96,Released,Family can be whatever you want it to be.,A Home at the End of the World,6.8,45
65000000,"Action, Adventure, Drama, Romance",9476,en,36.67,"Black and Blu Entertainment, Columbia Pictures Corporation, Escape Artists, Finestkind",2001-05-11,117487473,132,Released,He Will Rock You,A Knight's Tale,6.6,907
650000,Documentary,251471,en,1.63,"Global Emerging Markets (GEM), HeLo",2015-07-31,0,93,Released,,A LEGO Brickumentary,6.4,55
40000000,Comedy,11287,en,21.66,"Columbia Pictures Corporation, Parkway Productions",1992-07-01,107458785,128,Released,"To achieve the incredible, you have to attempt the impossible.",A League of Their Own,6.7,354
4000000,"Action, Adventure, Crime, Thriller",81390,en,8.31,"Carnaby International, Eigerwand Pictures, Molinare Studios",2011-04-09,25345000,99,Released,"Out here, there's nowhere to hide.",A Lonely Place to Die,6.2,157
30000000,Comedy,8976,en,19.21,"Beacon Pictures, Kevin Messick Productions, Mile High Productions, Touchstone Pictures",2005-04-22,42886719,107,Released,There's nothing better than a great romance... to ruin a perfectly good friendship.,A Lot Like Love,6.5,318
10000000,"Action, Comedy, Crime",26352,en,3.29,"Caravan Pictures, Hollywood Pictures",1994-11-23,29392418,100,Released,He's armed and dangerously funny.,A Low Down Dirty Shame,6.0,31
0,"Comedy, Drama",175555,en,5.38,Lions Gate,2013-12-13,0,100,Released,This Little Fool Thinks She's Getting A Damn Pony,A Madea Christmas,7.0,35
36000000,"Action, Drama",8409,en,19.85,"""DIA"" Productions GmbH & Co. KG, Joseph Nittolo Entertainment, New Line Cinema, Newman/Tooley Films",2003-04-04,44350926,109,Released,Love changes a man. Revenge tears him apart.,A Man Apart,5.8,258
3900000,"Drama, History",874,en,9.54,"Columbia Pictures Corporation, Highland Films",1966-12-12,28350000,120,Released,...a motion picture for all times!,A Man for All Seasons,7.5,89
16000000,"Drama, Thriller",1988,en,9.72,"Paramount Vantage, Plan B Entertainment, Revolution Films",2007-01-01,18928871,100,Released,One woman dared to keep hope alive,A Mighty Heart,6.7,95
6000000,"Comedy, Music",13370,en,4.05,Castle Rock Entertainment,2003-04-16,18750246,91,Released,"Back together for the first time, again.",A Mighty Wind,6.6,74
0,"Comedy, Western",188161,en,32.81,"Bluegrass Films, Fuzzy Door Productions, Media Rights Capital, RGB Media",2014-05-22,0,116,Released,Bring protection.,A Million Ways to Die in the West,5.8,1468
25000000,"Adventure, Animation, Comedy, Family, Fantasy",77459,fr,17.38,"Europa Corp, Scanbox",2011-10-12,0,90,Released,,A Monster in Paris,6.5,313
20000000,"Crime, Drama, Thriller",241239,en,37.63,"A24, Before the Door Pictures, FilmNation Entertainment, Imagenation Abu Dhabi FZ, Old Bull Pictures, Participant Media, Washington Square Films",2014-12-30,12007070,125,Released,The result is never in question. Just the path you take to get there.,A Most Violent Year,6.5,546
15000000,Thriller,157849,en,26.71,"Amusement Park Films, Demarest Films, Film4, FilmNation Entertainment, Lionsgate, Potboiler Productions, Senator Film Produktion, The Ink Factory",2014-07-25,31554855,121,Released,,A Most Wanted Man,6.5,541
17000000,Comedy,9429,en,12.71,"Paramount Pictures, SNL Studios",1998-10-01,30331165,81,Released,Score!,A Night at the Roxbury,5.9,198
1800000,Horror,377,en,38.2,"New Line Cinema, Smart Egg Pictures",1984-11-14,25504513,91,Released,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",A Nightmare on Elm Street,7.2,1180
5000000,"Horror, Thriller",10072,en,17.3,"New Line Cinema, Smart Egg Pictures",1987-02-27,44793222,96,Released,"If you think you're ready for Freddy, think again!",A Nightmare on Elm Street 3: Dream Warriors,6.5,354
7000000,"Horror, Thriller",10131,en,17.11,New Line Cinema,1988-08-19,72500000,99,Released,Terror beyond your wildest dreams.,A Nightmare on Elm Street 4: The Dream Master,5.8,281
8000000,"Horror, Thriller",10160,en,12.65,New Line Cinema,1989-08-11,22168359,89,Released,"Now Freddy’s a daddy, he’s killing for two.",A Nightmare on Elm Street 5: The Dream Child,5.5,245
3000000,Horror,10014,en,21.61,"New Line Cinema, Smart Egg Pictures",1985-10-31,29999213,87,Released,Someone is coming back to Elm Street!,A Nightmare on Elm Street Part 2: Freddy's Revenge,5.7,361
8000000,"Adventure, Drama, History",15927,en,9.55,"Columbia Pictures, EMI Films Ltd., Home Box Office, Thorn EMI Screen Entertainment",1984-12-14,27187653,163,Released,"David Lean, the Director of ""Doctor Zhivago"", ""Lawrence of Arabia"" and ""The Bridge on the River Kwai"", invites you on . .",A Passage to India,6.9,67
14000000,"Adventure, Mystery, Thriller",12403,en,20.79,"Davis Entertainment, QED International, Relativity Media, Rogue, Tooley Productions",2009-06-08,22852638,98,Released,Welcome to paradise. Enter at your own risk.,A Perfect Getaway,6.2,351
10000000,"Comedy, Drama, Music",9526,en,5.03,"GreeneStreet Films, Picturehouse Entertainment, Prairie Home Productions, River Road Entertainment, Sandcastle 5 Productions",2006-06-09,0,105,Released,Radio Like You've Never Seen It Before,A Prairie Home Companion,6.4,81
0,"Comedy, Drama, Foreign",22908,en,1.39,Unknown,1999-08-23,0,90,Released,,A Room for Romeo Brass,7.3,18
3000000,"Drama, Romance",11257,en,7.96,"Curzon Film Distributors, Goldcrest Films International, National Film Finance Corporation (NFFC)",1985-12-13,20966644,117,Released,,A Room with a View,6.9,156
8700000,"Animation, Science Fiction, Thriller",3509,en,26.09,"Detour Filmproduction, Section Eight Productions, Thousand Words, Warner Independent Pictures (WIP)",2006-05-25,7659918,100,Released,Everything Is Not Going To Be OK,A Scanner Darkly,6.8,532
800000,Drama,60243,fa,12.05,"Asghar Farhadi Productions, Dreamlab Films, MPA APSA Academy Film Fund",2011-03-15,0,123,Released,"Ugly truth, sweet lies.",A Separation,7.7,469
7000000,"Comedy, Drama",12573,en,23.61,"Focus Features, Mike Zoss Productions, Relativity Media, Studio Canal, Working Title Films",2009-10-02,31430334,105,Released,...seriously!,A Serious Man,6.6,483
6000000,"Drama, Family",37206,en,12.1,"Octagon Films, Sepia Films",2009-10-01,0,101,Released,An abandoned child brings the colors of love into their lives.,A Shine of Rainbows,6.3,14
0,"Crime, Drama, Thriller",10223,en,10.18,Paramount Pictures,1998-12-11,0,121,Released,Sometimes good people do evil things.,A Simple Plan,6.9,187
28000000,"Adventure, Comedy, Family, Fantasy",17834,en,1.77,"The Bubble Factory, Universal Pictures",1997-07-11,8345056,86,Released,Anabel made a wish. Murray made a mess,A Simple Wish,5.5,46
7000000,"Drama, Romance",34653,en,21.63,"Artina Films, Depth of Field, Fade to Black Productions",2009-10-19,0,101,Released,,A Single Man,7.3,463
80000000,"Action, Adventure, Science Fiction, Thriller",10077,en,7.34,"ApolloMedia Distribution, Baldwin Entertainment Group, Coco, Crusader Entertainment, Dante Entertainment, ETIC Films, Epsilon Motion Pictures, Film 111, Forge, Franchise Pictures, Jericho Productions Ltd., MFF (Sound of Thunder), Matrix Film Finance, QI Quality International GmbH Co. KG, Scenario Lane Productions, Signature Pictures",2005-05-15,5989640,110,Released,Some Rules Should Never Be Broken.,A Sound of Thunder,4.8,111
1800000,Drama,702,en,14.88,"Charles K. Feldman Group, Warner Bros.",1951-09-18,8000000,125,Released,"...Blanche, who wanted so much to stay a lady...",A Streetcar Named Desire,7.6,281
0,"Drama, History, Romance",358451,zh,0.75,"Edko Films, Film Workshop, Huayi Brothers",2015-08-28,0,130,Released,,A Tale of Three Cities,6.3,5
0,"Comedy, Crime, Romance, Thriller",28121,en,2.09,"New Line Cinema, Savoy Pictures",1996-04-04,0,108,Released,"When you play, you pay.",A Thin Line Between Love and Hate,5.7,15
40000000,"Comedy, Drama",72358,en,13.12,"DreamWorks SKG, Paramount Pictures, Saturn Films, Varsity Pictures",2012-03-07,22044277,91,Released,He only has 1000 words left to discover what matters the most.,A Thousand Words,6.0,373
